Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0013700,0.0000873,-0.00036400,0.00001540,-4.0646462440e+00,2.9050505161e-01,0.0673,1.8725249767e+00
-0.8990,-0.0013400,0.0000877,-0.00033200,0.00001520,-4.0727272034e+00,2.9292929173e-01,0.0683,1.8806059361e+00
-0.8980,-0.0013200,0.0000871,-0.00030500,0.00001500,-4.1010103226e+00,2.9131314158e-01,0.0693,1.9088890553e+00
-0.8970,-0.0013000,0.0000869,-0.00028300,0.00001490,-4.1090912819e+00,2.9090911150e-01,0.0703,1.9169700146e+00
-0.8960,-0.0012900,0.0000872,-0.00026300,0.00001470,-4.1494951248e+00,2.9292929173e-01,0.0713,1.9573738575e+00
-0.8950,-0.0012800,0.0000865,-0.00024500,0.00001460,-4.1818180084e+00,2.9050502181e-01,0.0723,1.9896967411e+00
-0.8940,-0.0012700,0.0000870,-0.00023000,0.00001440,-4.2020201683e+00,2.9333332181e-01,0.0733,2.0098989010e+00
-0.8930,-0.0012600,0.0000861,-0.00021500,0.00001430,-4.2222223282e+00,2.9010102153e-01,0.0743,2.0301010609e+00
-0.8920,-0.0012500,0.0000872,-0.00020300,0.00001410,-4.2303028107e+00,2.9535356164e-01,0.0753,2.0381815434e+00
-0.8910,-0.0012400,0.0000858,-0.00019100,0.00001400,-4.2383842468e+00,2.9010102153e-01,0.0763,2.0462629795e+00
-0.8900,-0.0012400,0.0000865,-0.00018000,0.00001390,-4.2828283310e+00,2.9333332181e-01,0.0773,2.0907070637e+00
-0.8890,-0.0012300,0.0000863,-0.00017000,0.00001380,-4.2828283310e+00,2.9292929173e-01,0.0783,2.0907070637e+00
-0.8880,-0.0012200,0.0000860,-0.00016100,0.00001360,-4.2787876129e+00,2.9252523184e-01,0.0793,2.0866663456e+00
-0.8870,-0.0012200,0.0000861,-0.00015200,0.00001350,-4.3151516914e+00,2.9333332181e-01,0.0803,2.1230304241e+00
-0.8860,-0.0012100,0.0000852,-0.00014400,0.00001340,-4.3070707321e+00,2.9010102153e-01,0.0813,2.1149494648e+00
-0.8850,-0.0012100,0.0000859,-0.00013600,0.00001330,-4.3393940926e+00,2.9333332181e-01,0.0823,2.1472728252e+00
-0.8840,-0.0012000,0.0000853,-0.00012900,0.00001320,-4.3272728920e+00,2.9131314158e-01,0.0833,2.1351516247e+00
